hfpxzc href,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,UsdlK,website,Cw1rxd,R8c4Qb,Cw1rxd 2,R8c4Qb 2,ah5Ghc,W4Efsd 7,M4A5Cf,ah5Ghc 2,email
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"https://www.google.com/maps/place/Ottawa+Property+Shop,+Realty+Inc.+Brokerage/data=!4m7!3m6!1s0x4cce069e83023eb1:0x3fa9a6d6d0b361f!8m2!3d45.4066737!4d-75.7210164!16s%2Fg%2F11bc6z8_br!19sChIJsT4Cg54GzkwRHzYLbW2a-gM?authuser=0&hl=en&rclk=1","Ottawa Property Shop, Realty Inc. Brokerage",4.9,-133,Real Estate Agency,·,,·,24 Bayswater Ave,Open 24 hours,·,(613) 695-2525,https://www.ottawapropertyshoprealty.com/,,Website,,Directions,Online appointments,,,,
https://www.google.com/maps/place/RE%2FMAX+Hallmark+Pilon+Group+Realty+%7C+Ottawa+Real+Estate+Team/data=!4m7!3m6!1s0x4cce124697c10407:0x3a8eb5a053fcfbcc!8m2!3d45.4597406!4d-75.4906383!16s%2Fg%2F11b7vckw95!19sChIJBwTBl0YSzkwRzPv8U6C1jjo?authuser=0&hl=en&rclk=1,RE/MAX Hallmark Pilon Group Realty | Ottawa Real Estate Team,4.9,-639,Real Estate Agency,·,,·,4366 Innes Rd #201,Closed,·,(613) 909-8100,http://www.pilongroup.com/,,Website,,Directions,Onsite services,⋅ Opens 9 a.m.,·,Online appointments,
"https://www.google.com/maps/place/Jason+Polonski-+Realtor+in+Kanata,+Ottawa/data=!4m7!3m6!1s0x4ccdffbdcf3ac565:0xceedac11d4d62fe1!8m2!3d45.3059037!4d-75.8805376!16s%2Fg%2F11bx8gwlbt!19sChIJZcU6z73_zUwR4S_W1BGs7c4?authuser=0&hl=en&rclk=1","Jason Polonski- Realtor in Kanata, Ottawa",5,-147,Real Estate Agency,·,,19 Durbin Ct,·,Open 24 hours,,(613) 601-9333,https://ottawarealtyman.com/,,Website,,Directions,Onsite services,,·,Online appointments,
https://www.google.com/maps/place/Avenue+North+Realty+Inc./data=!4m7!3m6!1s0x4cce05cb14fae321:0x5e131ebaec1eb03f!8m2!3d45.3985581!4d-75.7084329!16s%2Fg%2F11j6krjg_x!19sChIJIeP6FMsFzkwRP7Ae7LoeE14?authuser=0&hl=en&rclk=1,Avenue North Realty Inc.,4.7,-133,Real Estate Agency,·,,482 Preston St,·,Closed,,(613) 231-3000,http://www.avenuenorth.ca/,,Website,,Directions,Onsite services,⋅ Opens 9 a.m.,·,Online appointments,
"https://www.google.com/maps/place/Bennett+Property+Shop+Realty,+Brokerage+-+Top+Real+Estate+Agents+in+Ottawa/data=!4m7!3m6!1s0x4cce05abc0c3166f:0x1d849a6a8d5838c4!8m2!3d45.2673028!4d-75.9365211!16s%2Fg%2F119vwgczd!19sChIJbxbDwKsFzkwRxDhYjWqahB0?authuser=0&hl=en&rclk=1","Bennett Property Shop Realty, Brokerage - Top Real Estate Agents in Ottawa",4.5,-226,Real Estate Agency,·,,1194 Carp Rd,·,Open 24 hours,,(613) 233-8606,https://bennettpros.com/,,Website,,Directions,Onsite services,,·,Online appointments,
https://www.google.com/maps/place/Andy+and+Paddy+-+Realtors+in+Ottawa/data=!4m7!3m6!1s0x4cce06a9e5feaaab:0x4355ef37f8610ca4!8m2!3d45.4032723!4d-75.6882638!16s%2Fg%2F11c71c0vz5!19sChIJq6r-5akGzkwRpAxh-DfvVUM?authuser=0&hl=en&rclk=1,Andy and Paddy - Realtors in Ottawa,5,-135,Real Estate Agency,·,,787 Bank St second floor,·,Open 24 hours,,(613) 422-8688,http://www.andyandpaddy.com/,,Website,,Directions,Onsite services,,,,
"https://www.google.com/maps/place/Shaunna+McIntosh,+Ottawa+REALTOR+%C2%AE+-+Royal+Lepage+Team+Realty,+Brokerage/data=!4m7!3m6!1s0x4cce07270c7e0e8b:0xcf2265b379b206c!8m2!3d45.3783375!4d-75.7523837!16s%2Fg%2F11mgn7tgvm!19sChIJiw5-DCcHzkwRbCCbN1sm8gw?authuser=0&hl=en&rclk=1","Shaunna McIntosh, Ottawa REALTOR ® - Royal Lepage Team Realty, Brokerage",5,-90,Real Estate Agency,·,,1723 Carling Ave,·,Closed,,(613) 875-2225,http://www.shaunnamcintosh.ca/,,Website,,Directions,Onsite services,⋅ Opens 9 a.m.,·,Online appointments,
https://www.google.com/maps/place/Royal+LePage+Team+Realty+Hammer+%26+Associates+-+rachelhammer.com+real+estate+team/data=!4m7!3m6!1s0x4ccde2d4947ad261:0x9569a37fd19110c5!8m2!3d45.3783375!4d-75.7523837!16s%2Fg%2F11cmhgb3md!19sChIJYdJ6lNTizUwRxRCR0X-jaZU?authuser=0&hl=en&rclk=1,Royal LePage Team Realty Hammer & Associates - rachelhammer.com real estate team,4.9,-167,Real Estate Agency,·,,1723 Carling Ave,·,Closed,,(613) 369-8314,https://www.rachelhammer.com/,,Website,,Directions,Online appointments,⋅ Opens 9 a.m.,,,
